Date,Bitcoin Price USD
10/12/2021,57284.92
09/12/2021,45253.13
08/12/2021,45793.32
07/12/2021,34382.65
06/12/2021,37341.59
05/12/2021,56573.56
04/12/2021,59822.9
03/12/2021,57306.17
02/12/2021,47884.18
01/12/2021,34214.61
10/11/2021,54712.72
09/11/2021,44720.76
08/11/2021,45576.89
07/11/2021,33543.7
06/11/2021,36715.05
05/11/2021,55715.55
04/11/2021,59295.95
03/11/2021,57636.76
02/11/2021,47500.9
01/11/2021,34409.64
31/10/2021,61374.28
30/10/2021,62302.71
29/10/2021,60619.27
28/10/2021,58602.2
27/10/2021,60399.73
26/10/2021,63004.38
25/10/2021,60936.15
24/10/2021,61124.35
23/10/2021,60689.24
22/10/2021,62603.58
21/10/2021,65972.86
20/10/2021,63901.07
19/10/2021,61707.48
18/10/2021,60965.47
17/10/2021,60744.98
16/10/2021,61273.81
15/10/2021,57559.06
14/10/2021,57517.12
13/10/2021,56304.24
10/10/2021,54854.88
09/10/2021,46404.36
08/10/2021,45990.91
07/10/2021,33994.68
06/10/2021,37127.19
05/10/2021,58102.19
04/10/2021,58171.91
03/10/2021,56915.17
02/10/2021,45237.48
01/10/2021,38709.77
30/09/2021,41412.61
29/09/2021,41734.57
28/09/2021,43136.58
27/09/2021,43572.08
26/09/2021,42771.93
25/09/2021,42877.96
24/09/2021,44755.57
23/09/2021,43478.47
22/09/2021,41139.26
21/09/2021,43831.21
20/09/2021,47128.94
19/09/2021,48020.76
18/09/2021,47305.81
17/09/2021,47648.5
16/09/2021,48125.12
15/09/2021,47039.95
14/09/2021,45097.8
13/09/2021,45510.56
11/09/2021,67292.14
10/09/2021,54203.3
09/09/2021,46769.31
08/09/2021,44294.31
07/09/2021,32579.67
06/09/2021,33504.26
05/09/2021,58788.21
04/09/2021,57880.91
03/09/2021,54458.04
02/09/2021,46674.85
01/09/2021,40258.92
31/08/2021,47663.02
30/08/2021,49184.21
29/08/2021,48768.19
28/08/2021,49033.33
27/08/2021,47329.15
26/08/2021,48907.53
25/08/2021,48190.95
24/08/2021,49593.08
23/08/2021,48971.61
22/08/2021,49270.2
21/08/2021,49061.85
20/08/2021,46395.8
19/08/2021,44811.63
18/08/2021,44887.24
17/08/2021,46181.73
16/08/2021,47144.84
15/08/2021,47004.36
14/08/2021,47654.73
13/08/2021,44078.76
11/08/2021,67633.65
10/08/2021,53770.28
09/08/2021,46897.6
08/08/2021,44095.74
07/08/2021,34206.49
06/08/2021,34016.57
05/08/2021,57107.12
04/08/2021,56508.94
03/08/2021,51503.26
02/08/2021,44716.69
01/08/2021,40519.45
31/07/2021,41157.15
30/07/2021,39810.52
29/07/2021,39917.45
28/07/2021,38963.92
27/07/2021,37114.3
26/07/2021,34574.67
25/07/2021,34014.62
24/07/2021,33117.75
23/07/2021,32203.37
22/07/2021,32014.44
21/07/2021,29608.6
20/07/2021,30940.29
19/07/2021,31537.81
18/07/2021,31640.92
17/07/2021,31596.29
16/07/2021,31783.17
15/07/2021,33003.81
14/07/2021,32544.84
13/07/2021,33032.38
11/07/2021,62924.52
10/07/2021,55029.87
09/07/2021,52506.69
08/07/2021,42608.54
07/07/2021,34047.55
06/07/2021,35335.68
05/07/2021,56583.85
04/07/2021,58040.19
03/07/2021,50594.7
02/07/2021,38461.68
01/07/2021,39713.51
30/06/2021,35945.79
29/06/2021,34365.19
28/06/2021,34213.01
27/06/2021,31739.29
26/06/2021,31622.09
25/06/2021,34718.47
24/06/2021,33532.26
23/06/2021,32404.33
22/06/2021,31659.54
21/06/2021,35681.13
20/06/2021,35656.3
19/06/2021,35520.45
18/06/2021,37722.02
17/06/2021,38557.48
16/06/2021,40173.2
15/06/2021,40162.32
14/06/2021,38894.56
13/06/2021,35655.16
11/06/2021,61469.97
10/06/2021,51459.09
09/06/2021,51693.81
08/06/2021,40902.48
07/06/2021,34096.89
06/06/2021,34981.38
05/06/2021,57252.7
04/06/2021,58843.56
03/06/2021,48879.15
02/06/2021,40302.8
01/06/2021,36275.76
31/05/2021,35749.66
30/05/2021,34535.52
29/05/2021,34898.01
28/05/2021,38717.77
27/05/2021,38915
26/05/2021,38290.45
25/05/2021,38085.79
24/05/2021,34259.55
23/05/2021,37490.94
22/05/2021,36921.77
21/05/2021,39756.09
20/05/2021,39439.24
19/05/2021,43196.05
18/05/2021,43144.47
17/05/2021,45604.62
16/05/2021,47885.63
15/05/2021,50032.69
14/05/2021,49764.13
13/05/2021,52147.82
10/05/2021,48794.21
09/05/2021,49999.56
08/05/2021,39831.04
07/05/2021,35601.87
06/05/2021,37190.1
05/05/2021,53658.84
04/05/2021,58177.4
03/05/2021,49149.73
02/05/2021,37851.6
01/05/2021,34433.61
30/04/2021,53260.3
29/04/2021,54591.52
28/04/2021,55123.86
27/04/2021,53558.71
26/04/2021,48542.95
25/04/2021,50733.77
24/04/2021,50669.14
23/04/2021,51965.06
22/04/2021,54144.43
21/04/2021,56608.77
20/04/2021,56224.1
19/04/2021,56850.83
18/04/2021,60574.44
17/04/2021,61965.78
16/04/2021,63346.79
15/04/2021,62926.56
14/04/2021,63223.88
13/04/2021,59853.2
10/04/2021,48085.05
09/04/2021,49709.61
08/04/2021,38368.17
07/04/2021,34404.93
06/04/2021,38958.49
05/04/2021,57255.31
04/04/2021,57517.8
03/04/2021,48259.49
02/04/2021,37256.25
01/04/2021,31431.61
31/03/2021,58734.48
30/03/2021,57627.68
29/03/2021,55343.93
27/03/2021,56234.36
26/03/2021,54483.05
25/03/2021,52173.87
24/03/2021,52787.75
23/03/2021,54794.3
22/03/2021,54329.36
21/03/2021,57796.47
20/03/2021,58593.6
19/03/2021,58451.73
18/03/2021,57983.09
17/03/2021,58567.28
16/03/2021,56639.78
15/03/2021,56300.33
14/03/2021,60197.9
13/03/2021,60743.04
10/03/2021,48083.44
09/03/2021,49725.53
08/03/2021,39412.72
07/03/2021,33526.85
06/03/2021,37422.57
05/03/2021,56427.04
04/03/2021,58821.63
03/03/2021,50811.86
02/03/2021,37397.43
01/03/2021,33002.54
28/02/2021,45092.81
27/02/2021,46642.61
26/02/2021,45752.11
25/02/2021,48291.41
24/02/2021,48745.43
23/02/2021,48172.88
22/02/2021,54181.91
21/02/2021,57128.64
20/02/2021,54801.65
19/02/2021,55719.2
18/02/2021,51728.51
17/02/2021,52165.3
16/02/2021,48840.41
15/02/2021,48125.99
14/02/2021,49151.17
13/02/2021,47005.19
10/02/2021,47797.7
09/02/2021,48487.01
08/02/2021,40263.34
07/02/2021,33533.5
06/02/2021,36419.75
05/02/2021,57677.98
04/02/2021,58984.61
03/02/2021,47900.78
02/02/2021,35632.9
01/02/2021,32154.17
31/01/2021,33087.37
30/01/2021,34622.37
29/01/2021,34842.56
28/01/2021,33408.22
27/01/2021,30535
26/01/2021,32324.56
25/01/2021,32500.26
24/01/2021,32285.73
23/01/2021,32070.1
22/01/2021,33368.37
21/01/2021,30606.18
20/01/2021,35004.53
19/01/2021,36577.52
18/01/2021,36346.61
17/01/2021,36375.81
16/01/2021,36016.78
15/01/2021,36751.58
14/01/2021,38435.86
13/01/2021,37017.01
11/01/2021,61200.23
10/01/2021,43718.38
09/01/2021,46919.51
08/01/2021,41869.55
07/01/2021,34855.64
06/01/2021,36929.48
05/01/2021,57302.65
04/01/2021,58724.66
03/01/2021,49248.91
02/01/2021,33613.32
01/01/2021,29333.61
31/12/2020,29111.52
30/12/2020,28768.84
29/12/2020,26975.73
28/12/2020,26718.03
27/12/2020,26389.29
26/12/2020,26381.3
25/12/2020,24581.01
24/12/2020,23623.89
23/12/2020,23224.45
22/12/2020,23433.98
21/12/2020,23177.27
20/12/2020,23537.37
19/12/2020,23890.82
18/12/2020,23008.78
17/12/2020,22895.98
16/12/2020,21310.66
15/12/2020,19443.48
14/12/2020,19251.22
13/12/2020,19060.28
12/12/2020,18882.26
11/12/2020,16253.31
10/12/2020,11334.03
09/12/2020,10380.54
08/12/2020,11340.58
07/12/2020,9229.86
06/12/2020,9260.83
05/12/2020,8608.13
04/12/2020,6873.85
03/12/2020,5800.21
02/12/2020,10364.93
01/12/2020,8149.31
