Date,Closing Price (USD)
01/01/2014,376.13
01/02/2014,377.86
01/03/2014,714.05
01/04/2014,701.1
01/05/2014,700.82
01/06/2014,710
01/07/2014,720.52
01/08/2014,717.97
01/09/2014,700.95
01/10/2014,707.4
01/11/2014,7526.05
01/12/2014,6899.22
01/01/2015,7548.95
01/02/2015,7033.7
07/02/2015,259.63
08/02/2015,278.68
09/02/2015,226.29
10/02/2015,238.06
11/02/2015,325.65
12/02/2015,352.13
13/02/2015,223.97
14/02/2015,237.66
15/02/2015,256.22
16/02/2015,230.14
17/02/2015,235.71
18/02/2015,242.93
19/02/2015,237.1
20/02/2015,241.07
21/02/2015,245.71
22/02/2015,245.15
23/02/2015,235.14
24/02/2015,238.93
25/02/2015,238.15
26/02/2015,235.68
27/02/2015,251.29
28/02/2015,251.03
01/03/2015,8290.09
01/03/2015,311.14
02/03/2015,237.65
03/03/2015,270.76
04/03/2015,252.06
05/03/2015,236.24
06/03/2015,226.62
07/03/2015,255.53
08/03/2015,279.49
09/03/2015,228.35
10/03/2015,237.64
11/03/2015,369.51
12/03/2015,366.79
13/03/2015,293.22
14/03/2015,282.64
15/03/2015,283.08
16/03/2015,290.62
17/03/2015,290.54
18/03/2015,283.75
19/03/2015,252.45
20/03/2015,263.47
21/03/2015,259.91
22/03/2015,259.39
23/03/2015,267.55
24/03/2015,265.27
25/03/2015,246.67
26/03/2015,245.65
27/03/2015,246.55
28/03/2015,248.45
29/03/2015,246.73
30/03/2015,245.11
31/03/2015,247.26
01/04/2015,7373.93
01/04/2015,277.85
02/04/2015,225.84
03/04/2015,278.12
04/04/2015,253.43
05/04/2015,240.36
06/04/2015,225.44
07/04/2015,253.88
08/04/2015,283.49
09/04/2015,227.15
10/04/2015,239
11/04/2015,432.46
12/04/2015,358.44
13/04/2015,235.52
14/04/2015,222.6
15/04/2015,220.91
16/04/2015,226.02
17/04/2015,227.93
18/04/2015,223.32
19/04/2015,223.41
20/04/2015,223.92
21/04/2015,224.98
22/04/2015,235.5
23/04/2015,234.16
24/04/2015,233.4
25/04/2015,228.92
26/04/2015,219.95
27/04/2015,219.19
28/04/2015,227.39
29/04/2015,225.35
30/04/2015,226
01/05/2015,7796.56
01/05/2015,270.81
02/05/2015,226.55
03/05/2015,269.26
04/05/2015,252.03
05/05/2015,235.6
06/05/2015,223.97
07/05/2015,261.43
08/05/2015,284.24
09/05/2015,229.67
10/05/2015,238.82
11/05/2015,434.32
12/05/2015,369.96
13/05/2015,241.35
14/05/2015,235.55
15/05/2015,237.57
16/05/2015,236.66
17/05/2015,236.34
18/05/2015,236.23
19/05/2015,233.31
20/05/2015,232.72
21/05/2015,234.2
22/05/2015,235.86
23/05/2015,240.16
24/05/2015,239.8
25/05/2015,240.94
26/05/2015,237.66
27/05/2015,237.18
28/05/2015,237.67
29/05/2015,237.23
30/05/2015,236.14
31/05/2015,233.33
01/06/2015,7656.37
01/06/2015,272.02
02/06/2015,219.76
03/06/2015,274.9
04/06/2015,260.36
05/06/2015,235.6
06/06/2015,224.25
07/06/2015,267.61
08/06/2015,280.94
09/06/2015,240.7
10/06/2015,240.63
11/06/2015,359.59
12/06/2015,394.86
13/06/2015,230.67
14/06/2015,233.14
15/06/2015,234.75
16/06/2015,237.4
17/06/2015,248.74
18/06/2015,247.24
19/06/2015,249.07
20/06/2015,240.79
21/06/2015,244.16
22/06/2015,244.96
23/06/2015,247.13
24/06/2015,243.37
25/06/2015,240.92
26/06/2015,242.32
27/06/2015,242.29
28/06/2015,250.38
29/06/2015,249.43
30/06/2015,258.39
01/07/2015,8701.92
01/07/2015,283.84
02/07/2015,225.47
03/07/2015,270.86
04/07/2015,252.09
05/07/2015,230.42
06/07/2015,225.84
07/07/2015,270.08
08/07/2015,275.93
09/07/2015,239.88
10/07/2015,246.5
11/07/2015,377.64
12/07/2015,391.62
13/07/2015,304.99
14/07/2015,290.93
15/07/2015,288.49
16/07/2015,287.56
17/07/2015,276.98
18/07/2015,278.33
19/07/2015,275.31
20/07/2015,274.28
21/07/2015,279.46
22/07/2015,274.87
23/07/2015,276.21
24/07/2015,276.24
25/07/2015,287.56
26/07/2015,287.84
27/07/2015,291.2
28/07/2015,293.15
29/07/2015,292.99
30/07/2015,288.62
31/07/2015,286.74
01/08/2015,7835.23
01/08/2015,290.49
02/08/2015,225.73
03/08/2015,276.73
04/08/2015,252.86
05/08/2015,237.06
06/08/2015,223.69
07/08/2015,264.36
08/08/2015,278.28
09/08/2015,242.02
10/08/2015,244.5
11/08/2015,387.78
12/08/2015,395.59
13/08/2015,264.14
14/08/2015,262.02
15/08/2015,265.4
16/08/2015,261.2
17/08/2015,258.01
18/08/2015,256.45
19/08/2015,230.38
20/08/2015,232.06
21/08/2015,234.56
22/08/2015,233.04
23/08/2015,231.21
24/08/2015,227.23
25/08/2015,203.18
26/08/2015,219.82
27/08/2015,224.54
28/08/2015,224.19
29/08/2015,230.94
30/08/2015,230.59
31/08/2015,227.18
01/09/2015,7498.22
01/09/2015,281.04
02/09/2015,222.78
03/09/2015,277.99
04/09/2015,244.04
05/09/2015,244.7
06/09/2015,228.19
07/09/2015,267.94
08/09/2015,261.75
09/09/2015,244.31
10/09/2015,243.26
11/09/2015,370.65
12/09/2015,421.42
13/09/2015,235.05
14/09/2015,229.16
15/09/2015,230.51
16/09/2015,230.98
17/09/2015,229.59
18/09/2015,233.24
19/09/2015,232.5
20/09/2015,231.34
21/09/2015,230.75
22/09/2015,227.79
23/09/2015,231.31
24/09/2015,231.1
25/09/2015,233.74
26/09/2015,234.92
27/09/2015,234.33
28/09/2015,237.21
29/09/2015,238.57
30/09/2015,238.06
01/10/2015,8604.15
01/10/2015,286.69
02/10/2015,220.17
03/10/2015,294.19
04/10/2015,240.95
05/10/2015,241.52
06/10/2015,229.2
07/10/2015,269.25
08/10/2015,265.08
09/10/2015,237.99
10/10/2015,244.97
11/10/2015,376.95
12/10/2015,415.08
13/10/2015,244.58
14/10/2015,249.46
15/10/2015,254.64
16/10/2015,255.73
17/10/2015,267.54
18/10/2015,270.04
19/10/2015,264.99
20/10/2015,264.93
21/10/2015,270.5
22/10/2015,267.47
23/10/2015,274.25
24/10/2015,279.98
25/10/2015,286.87
26/10/2015,284.29
27/10/2015,287.83
28/10/2015,300.54
29/10/2015,304.33
30/10/2015,326.56
31/10/2015,327.58
01/11/2015,9291.85
01/11/2015,277.65
02/11/2015,223
03/11/2015,289.71
04/11/2015,236.44
05/11/2015,239.4
06/11/2015,229.96
07/11/2015,286.54
08/11/2015,264.88
09/11/2015,240.56
10/11/2015,245.07
11/11/2015,311.7
12/11/2015,421.81
13/11/2015,337.89
14/11/2015,334.13
15/11/2015,333.95
16/11/2015,320.06
17/11/2015,337.76
18/11/2015,333.33
19/11/2015,334.02
20/11/2015,315.63
21/11/2015,321.48
22/11/2015,326.37
23/11/2015,322.61
24/11/2015,320.99
25/11/2015,318.34
26/11/2015,332.47
27/11/2015,349.14
28/11/2015,354.95
29/11/2015,356.81
30/11/2015,375.2
01/12/2015,11734.07
01/12/2015,268.1
02/12/2015,218.73
03/12/2015,292.87
04/12/2015,236.55
05/12/2015,240
06/12/2015,229.91
07/12/2015,301.04
08/12/2015,270.22
09/12/2015,239.82
10/12/2015,247.65
11/12/2015,320.04
12/12/2015,467.83
13/12/2015,435.09
14/12/2015,437.02
15/12/2015,453.68
16/12/2015,445.81
17/12/2015,451.1
18/12/2015,456.43
19/12/2015,464.22
20/12/2015,460.24
21/12/2015,435.64
22/12/2015,438.28
23/12/2015,437.99
24/12/2015,456.57
25/12/2015,455.74
26/12/2015,447.61
27/12/2015,419.34
28/12/2015,427.82
29/12/2015,422.74
30/12/2015,431.03
31/12/2015,424.96
01/01/2016,14036.54
01/01/2016,432.36
02/01/2016,372.16
03/01/2016,436.43
04/01/2016,416.01
05/01/2016,449.11
06/01/2016,528.05
07/01/2016,683.29
08/01/2016,621.37
09/01/2016,572.96
10/01/2016,610.58
11/01/2016,708.96
12/01/2016,744.1
13/01/2016,431.16
14/01/2016,431.41
15/01/2016,416.29
16/01/2016,372.74
17/01/2016,383.14
18/01/2016,380.82
19/01/2016,382.74
20/01/2016,378.78
21/01/2016,417.44
22/01/2016,403.27
23/01/2016,388.22
24/01/2016,388.54
25/01/2016,397.89
26/01/2016,390.72
27/01/2016,392.39
28/01/2016,381.36
29/01/2016,369.13
30/01/2016,376.95
31/01/2016,378.17
01/02/2016,13743.41
01/02/2016,433.77
02/02/2016,372.45
03/02/2016,434
04/02/2016,418.79
05/02/2016,453.07
06/02/2016,538.57
07/02/2016,678.57
08/02/2016,601.23
09/02/2016,570.1
10/02/2016,613.24
11/02/2016,725.69
12/02/2016,766.59
13/02/2016,388.87
14/02/2016,397.23
15/02/2016,405.62
16/02/2016,401.66
17/02/2016,407.02
18/02/2016,417.49
19/02/2016,421.96
20/02/2016,422.05
21/02/2016,439.61
22/02/2016,436.14
23/02/2016,438.75
24/02/2016,419.9
25/02/2016,422.62
26/02/2016,421.24
27/02/2016,433.4
28/02/2016,425.5
29/02/2016,438.28
01/03/2016,14453.75
01/03/2016,431.99
02/03/2016,372.76
03/03/2016,419.25
04/03/2016,418.94
05/03/2016,443.68
06/03/2016,537.19
07/03/2016,690.18
08/03/2016,555.93
09/03/2016,572.52
10/03/2016,611.89
11/03/2016,741.85
12/03/2016,769.92
13/03/2016,411.64
14/03/2016,414.21
15/03/2016,416.03
