Date,Closing Price (USD)
11/03/2014,331.60
11/04/2014,324.72
11/05/2014,332.46
11/06/2014,336.59
11/07/2014,346.78
11/08/2014,344.81
11/09/2014,343.07
11/10/2014,358.50
11/11/2014,368.08
11/12/2014,377.00
13/11/2014,442.11
14/11/2014,389.00
15/11/2014,394.93
16/11/2014,377.08
17/11/2014,400.47
18/11/2014,384.93
19/11/2014,375.83
20/11/2014,376.16
21/11/2014,348.57
22/11/2014,352.42
23/11/2014,356.80
24/11/2014,367.83
25/11/2014,381.21
26/11/2014,375.50
27/11/2014,372.82
28/11/2014,368.98
29/11/2014,375.44
30/11/2014,376.85
12/01/2014,376.13
12/02/2014,377.86
12/03/2014,382.45
12/04/2014,376.38
12/05/2014,368.36
12/06/2014,373.41
12/07/2014,373.74
12/08/2014,373.16
12/09/2014,357.88
12/10/2014,348.90
12/11/2014,341.04
12/12/2014,348.27
13/12/2014,346.74
14/12/2014,347.35
15/12/2014,348.67
16/12/2014,338.55
17/12/2014,330.54
18/12/2014,317.41
19/12/2014,306.46
20/12/2014,319.20
21/12/2014,321.89
22/12/2014,320.03
23/12/2014,328.70
24/12/2014,332.05
25/12/2014,321.39
26/12/2014,318.56
27/12/2014,320.87
28/12/2014,316.01
29/12/2014,315.64
30/12/2014,313.99
31/12/2014,309.90
01/01/2015,317.20
01/02/2015,314.50
01/03/2015,311.14
01/04/2015,277.85
01/05/2015,270.81
01/06/2015,272.02
01/07/2015,283.84
01/08/2015,290.49
01/09/2015,281.04
01/10/2015,286.69
01/11/2015,277.65
01/12/2015,268.10
13/01/2015,243.08
14/01/2015,219.13
15/01/2015,193.35
16/01/2015,220.57
17/01/2015,209.17
18/01/2015,195.59
19/01/2015,212.27
20/01/2015,211.54
21/01/2015,212.28
22/01/2015,230.68
23/01/2015,226.30
24/01/2015,231.42
25/01/2015,251.61
26/01/2015,283.60
27/01/2015,258.54
28/01/2015,257.45
29/01/2015,235.95
30/01/2015,233.14
31/01/2015,226.94
02/01/2015,216.66
02/02/2015,229.80
02/03/2015,237.65
02/04/2015,225.84
02/05/2015,226.55
02/06/2015,219.76
02/07/2015,225.47
02/08/2015,225.73
02/09/2015,222.78
02/10/2015,220.17
02/11/2015,223.00
02/12/2015,218.73
13/02/2015,223.97
14/02/2015,237.66
15/02/2015,256.22
16/02/2015,230.14
17/02/2015,235.71
18/02/2015,242.93
19/02/2015,237.10
20/02/2015,241.07
21/02/2015,245.71
22/02/2015,245.15
23/02/2015,235.14
24/02/2015,238.93
25/02/2015,238.15
26/02/2015,235.68
27/02/2015,251.29
28/02/2015,251.03
03/01/2015,251.93
03/02/2015,258.85
03/03/2015,270.76
03/04/2015,278.12
03/05/2015,269.26
03/06/2015,274.90
03/07/2015,270.86
03/08/2015,276.73
03/09/2015,277.99
03/10/2015,294.19
03/11/2015,289.71
03/12/2015,292.87
13/03/2015,293.22
14/03/2015,282.64
15/03/2015,283.08
16/03/2015,290.62
17/03/2015,290.54
18/03/2015,283.75
19/03/2015,252.45
20/03/2015,263.47
21/03/2015,259.91
22/03/2015,259.39
23/03/2015,267.55
24/03/2015,265.27
25/03/2015,246.67
26/03/2015,245.65
27/03/2015,246.55
28/03/2015,248.45
29/03/2015,246.73
30/03/2015,245.11
31/03/2015,247.26
04/01/2015,243.30
04/02/2015,246.96
04/03/2015,252.06
04/04/2015,253.43
04/05/2015,252.03
04/06/2015,260.36
04/07/2015,252.09
04/08/2015,252.86
04/09/2015,244.04
04/10/2015,240.95
04/11/2015,236.44
04/12/2015,236.55
13/04/2015,235.52
14/04/2015,222.60
15/04/2015,220.91
16/04/2015,226.02
17/04/2015,227.93
18/04/2015,223.32
19/04/2015,223.41
20/04/2015,223.92
21/04/2015,224.98
22/04/2015,235.50
23/04/2015,234.16
24/04/2015,233.40
25/04/2015,228.92
26/04/2015,219.95
27/04/2015,219.19
28/04/2015,227.39
29/04/2015,225.35
30/04/2015,226.00
05/01/2015,236.68
05/02/2015,233.85
05/03/2015,236.24
05/04/2015,240.36
05/05/2015,235.60
05/06/2015,235.60
05/07/2015,230.42
05/08/2015,237.06
05/09/2015,244.70
05/10/2015,241.52
05/11/2015,239.40
05/12/2015,240.00
13/05/2015,241.35
14/05/2015,235.55
15/05/2015,237.57
16/05/2015,236.66
17/05/2015,236.34
18/05/2015,236.23
19/05/2015,233.31
20/05/2015,232.72
21/05/2015,234.20
22/05/2015,235.86
23/05/2015,240.16
24/05/2015,239.80
25/05/2015,240.94
26/05/2015,237.66
27/05/2015,237.18
28/05/2015,237.67
29/05/2015,237.23
30/05/2015,236.14
31/05/2015,233.33
06/01/2015,230.83
06/02/2015,223.42
06/03/2015,226.62
06/04/2015,225.44
06/05/2015,223.97
06/06/2015,224.25
06/07/2015,225.84
06/08/2015,223.69
06/09/2015,228.19
06/10/2015,229.20
06/11/2015,229.96
06/12/2015,229.91
13/06/2015,230.67
14/06/2015,233.14
15/06/2015,234.75
16/06/2015,237.40
17/06/2015,248.74
18/06/2015,247.24
19/06/2015,249.07
20/06/2015,240.79
21/06/2015,244.16
22/06/2015,244.96
23/06/2015,247.13
24/06/2015,243.37
25/06/2015,240.92
26/06/2015,242.32
27/06/2015,242.29
28/06/2015,250.38
29/06/2015,249.43
30/06/2015,258.39
07/01/2015,261.72
07/02/2015,259.63
07/03/2015,255.53
07/04/2015,253.88
07/05/2015,261.43
07/06/2015,267.61
07/07/2015,270.08
07/08/2015,264.36
07/09/2015,267.94
07/10/2015,269.25
07/11/2015,286.54
07/12/2015,301.04
13/07/2015,304.99
14/07/2015,290.93
15/07/2015,288.49
16/07/2015,287.56
17/07/2015,276.98
18/07/2015,278.33
19/07/2015,275.31
20/07/2015,274.28
21/07/2015,279.46
22/07/2015,274.87
23/07/2015,276.21
24/07/2015,276.24
25/07/2015,287.56
26/07/2015,287.84
27/07/2015,291.20
28/07/2015,293.15
29/07/2015,292.99
30/07/2015,288.62
31/07/2015,286.74
08/01/2015,282.34
08/02/2015,278.68
08/03/2015,279.49
08/04/2015,283.49
08/05/2015,284.24
08/06/2015,280.94
08/07/2015,275.93
08/08/2015,278.28
08/09/2015,261.75
08/10/2015,265.08
08/11/2015,264.88
08/12/2015,270.22
13/08/2015,264.14
14/08/2015,262.02
15/08/2015,265.40
16/08/2015,261.20
17/08/2015,258.01
18/08/2015,256.45
19/08/2015,230.38
20/08/2015,232.06
21/08/2015,234.56
22/08/2015,233.04
23/08/2015,231.21
24/08/2015,227.23
25/08/2015,203.18
26/08/2015,219.82
27/08/2015,224.54
28/08/2015,224.19
29/08/2015,230.94
30/08/2015,230.59
